dv,contrast,mean_a,mean_b,diff_a_minus_b,t,p,n_a,n_b
agency,alternatives_vs_direct_choice,4.250000000000001,4.308333333333334,-0.05833333333333268,-0.4011608043015999,0.6890439181273944,60,60
agency,reasons_concise_vs_direct_choice_long,4.433333333333334,3.9416666666666673,0.49166666666666625,3.3397032478788264,0.00113362900011447,60,60
agency,reflection_feedback_vs_reasons,5.200000000000001,4.583333333333333,0.616666666666668,5.341433122901471,4.913489752022003e-07,60,60
agency,reflection_feedback_vs_direct_choice_long,5.200000000000001,3.9416666666666673,1.2583333333333337,9.400952308307751,2.1454416235133006e-15,60,60
experience,alternatives_vs_direct_choice,3.0733333333333333,2.8066666666666666,0.2666666666666666,0.9667364890456634,0.3356562461010347,60,60
experience,reasons_concise_vs_direct_choice_long,2.7600000000000002,2.7633333333333336,-0.0033333333333334103,-0.01280769213508869,0.9898028537282105,60,60
experience,reflection_feedback_vs_reasons,2.526666666666667,2.936666666666667,-0.41000000000000014,-1.717570594835694,0.08853927623735901,60,60
experience,reflection_feedback_vs_direct_choice_long,2.526666666666667,2.7633333333333336,-0.2366666666666668,-0.9717932774512378,0.33319167446960035,60,60
free_will_attribution,alternatives_vs_direct_choice,4.413333333333333,4.4399999999999995,-0.026666666666666394,-0.14073722325394822,0.8883205461829056,60,60
free_will_attribution,reasons_concise_vs_direct_choice_long,4.503333333333333,4.086666666666667,0.4166666666666661,2.291628742898392,0.02375461247931587,60,60
free_will_attribution,reflection_feedback_vs_reasons,4.869999999999999,4.69,0.17999999999999883,1.308583875314811,0.19321984937327272,60,60
free_will_attribution,reflection_feedback_vs_direct_choice_long,4.869999999999999,4.086666666666667,0.7833333333333323,4.592843374636963,1.2073641130545292e-05,60,60
autonomy,alternatives_vs_direct_choice,4.5,4.577777777777778,-0.07777777777777839,-0.43885316351521236,0.6615802463297155,60,60
autonomy,reasons_concise_vs_direct_choice_long,4.544444444444446,4.205555555555555,0.33888888888889124,1.8122365286180475,0.07253627654684776,60,60
autonomy,reflection_feedback_vs_reasons,5.1000000000000005,4.800000000000001,0.2999999999999998,2.1879164282855803,0.030662566421391202,60,60
autonomy,reflection_feedback_vs_direct_choice_long,5.1000000000000005,4.205555555555555,0.8944444444444457,5.313546557894332,6.342962927195998e-07,60,60
outcome_accountability,alternatives_vs_direct_choice,5.033333333333333,5.291666666666667,-0.25833333333333375,-1.38826938531252,0.1677996987791519,60,60
outcome_accountability,reasons_concise_vs_direct_choice_long,5.075,5.275,-0.20000000000000018,-1.0834602024821662,0.2808259258840217,60,60
outcome_accountability,reflection_feedback_vs_reasons,4.958333333333333,5.2,-0.24166666666666714,-1.3004730305836836,0.19601136123328147,60,60
outcome_accountability,reflection_feedback_vs_direct_choice_long,4.958333333333333,5.275,-0.3166666666666673,-1.6895324408424741,0.09378649530931826,60,60
moral_praise_blame,alternatives_vs_direct_choice,4.441666666666666,4.533333333333333,-0.09166666666666679,-0.44683820629376825,0.6558227119677951,60,60
moral_praise_blame,reasons_concise_vs_direct_choice_long,4.258333333333334,4.525,-0.2666666666666666,-1.3864486641006384,0.16824059969095123,60,60
moral_praise_blame,reflection_feedback_vs_reasons,4.583333333333333,4.591666666666667,-0.008333333333333748,-0.04334790345312582,0.9654975529750598,60,60
moral_praise_blame,reflection_feedback_vs_direct_choice_long,4.583333333333333,4.525,0.05833333333333268,0.29513035293017625,0.7684132154709009,60,60
process_accountability,alternatives_vs_direct_choice,4.641666666666667,4.658333333333333,-0.016666666666666607,-0.11955905256513395,0.9050358465186945,60,60
process_accountability,reasons_concise_vs_direct_choice_long,4.641666666666667,4.45,0.19166666666666643,1.4436782923096607,0.15156599918698205,60,60
process_accountability,reflection_feedback_vs_reasons,5.05,4.85,0.20000000000000018,1.7738846260866776,0.07871878508956846,60,60
process_accountability,reflection_feedback_vs_direct_choice_long,5.05,4.45,0.5999999999999996,4.508365430139244,1.5876963916819314e-05,60,60
responsibility_total,alternatives_vs_direct_choice,4.705555555555555,4.827777777777778,-0.12222222222222356,-0.7460152052176388,0.4571431235729513,60,60
responsibility_total,reasons_concise_vs_direct_choice_long,4.658333333333333,4.750000000000001,-0.09166666666666767,-0.5734982887292682,0.5674003008208249,60,60
responsibility_total,reflection_feedback_vs_reasons,4.863888888888889,4.8805555555555555,-0.016666666666666607,-0.1121770202293126,0.91087606754405,60,60
responsibility_total,reflection_feedback_vs_direct_choice_long,4.863888888888889,4.750000000000001,0.11388888888888804,0.7127325205930354,0.477420360163505,60,60
perceived_intelligence,alternatives_vs_direct_choice,5.055555555555555,5.0,0.05555555555555536,0.3975015706396043,0.6917173987934516,60,60
perceived_intelligence,reasons_concise_vs_direct_choice_long,5.144444444444446,4.627777777777777,0.5166666666666684,3.9078530266080955,0.00015763509838309485,60,60
perceived_intelligence,reflection_feedback_vs_reasons,5.533333333333334,5.266666666666667,0.2666666666666675,2.6202012414039095,0.009961513303362488,60,60
perceived_intelligence,reflection_feedback_vs_direct_choice_long,5.533333333333334,4.627777777777777,0.9055555555555568,7.482959148692708,2.529007922930839e-11,60,60
factual_manipulation_check,alternatives_vs_direct_choice,1.011111111111111,0.09444444444444443,0.9166666666666666,19.005372466621324,1.0741076989955228e-37,60,60
factual_manipulation_check,reasons_concise_vs_direct_choice_long,1.616666666666667,0.01111111111111111,1.6055555555555558,52.689571889658524,5.592912619976046e-62,60,60
factual_manipulation_check,reflection_feedback_vs_reasons,2.0,1.938888888888889,0.061111111111110894,3.291364523246569,0.0016864405167326766,60,60
factual_manipulation_check,reflection_feedback_vs_direct_choice_long,2.0,0.01111111111111111,1.988888888888889,179.00000000000006,2.0572931337693694e-82,60,60
subjective_process_completeness,alternatives_vs_direct_choice,4.216666666666667,3.75,0.4666666666666668,3.6924399510753205,0.00033885564291935664,60,60
subjective_process_completeness,reasons_concise_vs_direct_choice_long,4.65,3.2277777777777774,1.422222222222223,12.759514922309224,8.033303031385093e-24,60,60
subjective_process_completeness,reflection_feedback_vs_reasons,5.5666666666666655,5.027777777777778,0.5388888888888879,5.5425120646435175,1.8447992346457693e-07,60,60
subjective_process_completeness,reflection_feedback_vs_direct_choice_long,5.5666666666666655,3.2277777777777774,2.338888888888888,21.541667612612606,6.498362422436777e-42,60,60
