construct,contrast_id,contrast,interpretation,split,left_mean,right_mean,difference,effect_size_d,ci95_low,ci95_high,n_left,n_right,data_status
GO,P1,C1 - C0,effect of showing alternatives,overall,4.0742,3.8594,0.2148,0.3371,-0.006,0.4357,64,64,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,3.9141,3.5859,0.3281,0.5428,0.0319,0.6243,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,4.2344,4.1328,0.1016,0.1701,-0.1911,0.3942,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,identity=ai,4.1406,3.8984,0.2422,0.3835,-0.0672,0.5516,32,32,synthetic_demo
GO,P1,C1 - C0,effect of showing alternatives,identity=human,4.0078,3.8203,0.1875,0.289,-0.1304,0.5054,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,overall,4.543,3.8594,0.6836,1.0819,0.4647,0.9025,64,64,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,4.5078,3.5859,0.9219,1.4587,0.6122,1.2315,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,4.5781,4.1328,0.4453,0.7711,0.1623,0.7283,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,identity=ai,4.5938,3.8984,0.6953,1.0826,0.3806,1.01,32,32,synthetic_demo
GO,P2,C2 - C0,effect of showing reasons,identity=human,4.4922,3.8203,0.6719,1.0696,0.3641,0.9797,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,overall,4.6875,4.543,0.1445,0.2262,-0.0769,0.3659,64,64,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,4.3906,4.5078,-0.1172,-0.1927,-0.4152,0.1808,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,4.9844,4.5781,0.4062,0.67,0.1091,0.7034,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,identity=ai,4.625,4.5938,0.0312,0.0459,-0.3022,0.3647,32,32,synthetic_demo
GO,P3,C3 - C2,effect of feedback only,identity=human,4.75,4.4922,0.2578,0.4298,-0.0361,0.5518,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,overall,4.5938,4.543,0.0508,0.0789,-0.1724,0.2739,64,64,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,4.4922,4.5078,-0.0156,-0.0247,-0.3252,0.2939,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,4.6953,4.5781,0.1172,0.1783,-0.2048,0.4392,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,4.6719,4.5938,0.0781,0.1104,-0.2685,0.4247,32,32,synthetic_demo
GO,P4,C4 - C2,effect of feedback + keeping decision,identity=human,4.5156,4.4922,0.0234,0.0406,-0.2595,0.3064,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,overall,4.8984,4.543,0.3555,0.575,0.1413,0.5697,64,64,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,4.7656,4.5078,0.2578,0.4217,-0.0418,0.5574,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,5.0312,4.5781,0.4531,0.7318,0.1497,0.7565,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,identity=ai,4.9453,4.5938,0.3516,0.5226,0.0219,0.6812,32,32,synthetic_demo
GO,P5,C5 - C2,effect of feedback + changing decision,identity=human,4.8516,4.4922,0.3594,0.636,0.0825,0.6362,32,32,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,overall,4.8984,4.5938,0.3047,0.4776,0.0837,0.5257,64,64,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,4.7656,4.4922,0.2734,0.4559,-0.0204,0.5673,32,32,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,5.0312,4.6953,0.3359,0.5073,0.0115,0.6604,32,32,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,4.9453,4.6719,0.2734,0.4058,-0.0567,0.6036,32,32,synthetic_demo
GO,P6,C5 - C4,effect of changing vs keeping decision,identity=human,4.8516,4.5156,0.3359,0.5564,0.0401,0.6318,32,32,synthetic_demo
IC,P1,C1 - C0,effect of showing alternatives,overall,4.2156,4.0281,0.1875,0.2473,-0.0752,0.4502,64,64,synthetic_demo
IC,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,3.9312,3.7688,0.1625,0.2392,-0.1704,0.4954,32,32,synthetic_demo
IC,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,4.5,4.2875,0.2125,0.2856,-0.152,0.577,32,32,synthetic_demo
IC,P1,C1 - C0,effect of showing alternatives,identity=ai,4.4062,4.15,0.2562,0.3376,-0.1157,0.6282,32,32,synthetic_demo
IC,P1,C1 - C0,effect of showing alternatives,identity=human,4.025,3.9062,0.1188,0.1617,-0.241,0.4785,32,32,synthetic_demo
IC,P2,C2 - C0,effect of showing reasons,overall,4.6219,4.0281,0.5937,0.8164,0.3418,0.8457,64,64,synthetic_demo
IC,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,4.45,3.7688,0.6812,1.1135,0.3815,0.981,32,32,synthetic_demo
IC,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,4.7937,4.2875,0.5062,0.6533,0.1265,0.886,32,32,synthetic_demo
IC,P2,C2 - C0,effect of showing reasons,identity=ai,4.6437,4.15,0.4937,0.6758,0.1357,0.8518,32,32,synthetic_demo
IC,P2,C2 - C0,effect of showing reasons,identity=human,4.6,3.9062,0.6937,0.9573,0.3387,1.0488,32,32,synthetic_demo
IC,P3,C3 - C2,effect of feedback only,overall,4.5969,4.6219,-0.025,-0.0378,-0.2543,0.2043,64,64,synthetic_demo
IC,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,4.4438,4.45,-0.0062,-0.0101,-0.31,0.2975,32,32,synthetic_demo
IC,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,4.75,4.7937,-0.0437,-0.0652,-0.3728,0.2853,32,32,synthetic_demo
IC,P3,C3 - C2,effect of feedback only,identity=ai,4.5625,4.6437,-0.0812,-0.1103,-0.442,0.2795,32,32,synthetic_demo
IC,P3,C3 - C2,effect of feedback only,identity=human,4.6312,4.6,0.0312,0.0531,-0.257,0.3195,32,32,synthetic_demo
IC,P4,C4 - C2,effect of feedback + keeping decision,overall,4.7938,4.6219,0.1719,0.2469,-0.0693,0.413,64,64,synthetic_demo
IC,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,4.7313,4.45,0.2813,0.3827,-0.0789,0.6414,32,32,synthetic_demo
IC,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,4.8562,4.7937,0.0625,0.0976,-0.2512,0.3762,32,32,synthetic_demo
IC,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,4.7562,4.6437,0.1125,0.1526,-0.2488,0.4738,32,32,synthetic_demo
IC,P4,C4 - C2,effect of feedback + keeping decision,identity=human,4.8312,4.6,0.2313,0.3491,-0.0934,0.5559,32,32,synthetic_demo
IC,P5,C5 - C2,effect of feedback + changing decision,overall,5.0344,4.6219,0.4125,0.6167,0.1807,0.6443,64,64,synthetic_demo
IC,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,4.8375,4.45,0.3875,0.5899,0.0656,0.7094,32,32,synthetic_demo
IC,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,5.2312,4.7937,0.4375,0.6856,0.1248,0.7502,32,32,synthetic_demo
IC,P5,C5 - C2,effect of feedback + changing decision,identity=ai,4.9688,4.6437,0.325,0.4374,-0.0391,0.6891,32,32,synthetic_demo
IC,P5,C5 - C2,effect of feedback + changing decision,identity=human,5.1,4.6,0.5,0.8424,0.2092,0.7908,32,32,synthetic_demo
IC,P6,C5 - C4,effect of changing vs keeping decision,overall,5.0344,4.7938,0.2406,0.3456,-0.0006,0.4819,64,64,synthetic_demo
IC,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,4.8375,4.7313,0.1063,0.1415,-0.2617,0.4742,32,32,synthetic_demo
IC,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,5.2312,4.8562,0.375,0.6106,0.0741,0.6759,32,32,synthetic_demo
IC,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,4.9688,4.7562,0.2125,0.2808,-0.1583,0.5833,32,32,synthetic_demo
IC,P6,C5 - C4,effect of changing vs keeping decision,identity=human,5.1,4.8312,0.2687,0.4215,-0.0437,0.5812,32,32,synthetic_demo
IN,P1,C1 - C0,effect of showing alternatives,overall,4.1484,3.9023,0.2461,0.3707,0.0161,0.4761,64,64,synthetic_demo
IN,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,3.9453,3.6875,0.2578,0.3891,-0.0668,0.5825,32,32,synthetic_demo
IN,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,4.3516,4.1172,0.2344,0.3871,-0.0623,0.5311,32,32,synthetic_demo
IN,P1,C1 - C0,effect of showing alternatives,identity=ai,4.1719,3.8828,0.2891,0.4833,-0.004,0.5821,32,32,synthetic_demo
IN,P1,C1 - C0,effect of showing alternatives,identity=human,4.125,3.9219,0.2031,0.2771,-0.156,0.5623,32,32,synthetic_demo
IN,P2,C2 - C0,effect of showing reasons,overall,4.3867,3.9023,0.4844,0.6887,0.2407,0.728,64,64,synthetic_demo
IN,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,4.2578,3.6875,0.5703,0.8477,0.2407,0.9,32,32,synthetic_demo
IN,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,4.5156,4.1172,0.3984,0.5705,0.0562,0.7406,32,32,synthetic_demo
IN,P2,C2 - C0,effect of showing reasons,identity=ai,4.3203,3.8828,0.4375,0.6522,0.1088,0.7662,32,32,synthetic_demo
IN,P2,C2 - C0,effect of showing reasons,identity=human,4.4531,3.9219,0.5312,0.7162,0.1678,0.8947,32,32,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,overall,4.6055,4.3867,0.2188,0.3029,-0.0315,0.469,64,64,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,4.4844,4.2578,0.2266,0.3139,-0.1271,0.5803,32,32,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,4.7266,4.5156,0.2109,0.2963,-0.1378,0.5597,32,32,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,identity=ai,4.5078,4.3203,0.1875,0.2611,-0.1643,0.5393,32,32,synthetic_demo
IN,P3,C3 - C2,effect of feedback only,identity=human,4.7031,4.4531,0.25,0.3434,-0.1067,0.6067,32,32,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,overall,4.6289,4.3867,0.2422,0.3297,-0.0123,0.4967,64,64,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,4.5,4.2578,0.2422,0.3592,-0.0882,0.5726,32,32,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,4.7578,4.5156,0.2422,0.3107,-0.1398,0.6242,32,32,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,4.6719,4.3203,0.3516,0.4926,0.0018,0.7013,32,32,synthetic_demo
IN,P4,C4 - C2,effect of feedback + keeping decision,identity=human,4.5859,4.4531,0.1328,0.1743,-0.2406,0.5062,32,32,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,overall,4.8633,4.3867,0.4766,0.6349,0.2165,0.7366,64,64,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,4.7656,4.2578,0.5078,0.7652,0.1826,0.833,32,32,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,4.9609,4.5156,0.4453,0.541,0.042,0.8486,32,32,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,identity=ai,4.9062,4.3203,0.5859,0.8172,0.2346,0.9373,32,32,synthetic_demo
IN,P5,C5 - C2,effect of feedback + changing decision,identity=human,4.8203,4.4531,0.3672,0.4647,-0.02,0.7544,32,32,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,overall,4.8633,4.6289,0.2344,0.3214,-0.0183,0.487,64,64,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,4.7656,4.5,0.2656,0.4327,-0.0352,0.5664,32,32,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,4.9609,4.7578,0.2031,0.2469,-0.1999,0.6062,32,32,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,4.9062,4.6719,0.2344,0.3375,-0.1059,0.5746,32,32,synthetic_demo
IN,P6,C5 - C4,effect of changing vs keeping decision,identity=human,4.8203,4.5859,0.2344,0.304,-0.1434,0.6122,32,32,synthetic_demo
MSI,P1,C1 - C0,effect of showing alternatives,overall,3.0,2.7161,0.2839,0.425,0.0524,0.5153,64,64,synthetic_demo
MSI,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,2.7344,2.4531,0.2812,0.4617,-0.0172,0.5797,32,32,synthetic_demo
MSI,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,3.2656,2.9792,0.2865,0.458,-0.02,0.5929,32,32,synthetic_demo
MSI,P1,C1 - C0,effect of showing alternatives,identity=ai,2.8281,2.6719,0.1562,0.2466,-0.1542,0.4667,32,32,synthetic_demo
MSI,P1,C1 - C0,effect of showing alternatives,identity=human,3.1719,2.7604,0.4115,0.5985,0.0746,0.7483,32,32,synthetic_demo
MSI,P2,C2 - C0,effect of showing reasons,overall,3.1927,2.7161,0.4766,0.6602,0.2264,0.7267,64,64,synthetic_demo
MSI,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,3.0781,2.4531,0.625,0.9538,0.3039,0.9461,32,32,synthetic_demo
MSI,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,3.3073,2.9792,0.3281,0.4446,-0.0335,0.6898,32,32,synthetic_demo
MSI,P2,C2 - C0,effect of showing reasons,identity=ai,2.8802,2.6719,0.2083,0.2809,-0.155,0.5717,32,32,synthetic_demo
MSI,P2,C2 - C0,effect of showing reasons,identity=human,3.5052,2.7604,0.7448,1.1685,0.4325,1.0571,32,32,synthetic_demo
MSI,P3,C3 - C2,effect of feedback only,overall,3.4089,3.1927,0.2161,0.3213,-0.0169,0.4492,64,64,synthetic_demo
MSI,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,3.2552,3.0781,0.1771,0.2814,-0.1313,0.4854,32,32,synthetic_demo
MSI,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,3.5625,3.3073,0.2552,0.3663,-0.0862,0.5966,32,32,synthetic_demo
MSI,P3,C3 - C2,effect of feedback only,identity=ai,3.2188,2.8802,0.3385,0.5196,0.0193,0.6578,32,32,synthetic_demo
MSI,P3,C3 - C2,effect of feedback only,identity=human,3.599,3.5052,0.0938,0.1569,-0.199,0.3865,32,32,synthetic_demo
MSI,P4,C4 - C2,effect of feedback + keeping decision,overall,3.6406,3.1927,0.4479,0.6136,0.195,0.7008,64,64,synthetic_demo
MSI,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,3.4896,3.0781,0.4115,0.5894,0.0694,0.7535,32,32,synthetic_demo
MSI,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,3.7917,3.3073,0.4844,0.6482,0.1182,0.8505,32,32,synthetic_demo
MSI,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,3.3906,2.8802,0.5104,0.6347,0.1163,0.9045,32,32,synthetic_demo
MSI,P4,C4 - C2,effect of feedback + keeping decision,identity=human,3.8906,3.5052,0.3854,0.7408,0.1305,0.6404,32,32,synthetic_demo
MSI,P5,C5 - C2,effect of feedback + changing decision,overall,3.7188,3.1927,0.526,0.7403,0.2798,0.7722,64,64,synthetic_demo
MSI,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,3.5885,3.0781,0.5104,0.7618,0.1821,0.8387,32,32,synthetic_demo
MSI,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,3.849,3.3073,0.5417,0.733,0.1796,0.9038,32,32,synthetic_demo
MSI,P5,C5 - C2,effect of feedback + changing decision,identity=ai,3.4375,2.8802,0.5573,0.7365,0.1865,0.9281,32,32,synthetic_demo
MSI,P5,C5 - C2,effect of feedback + changing decision,identity=human,4.0,3.5052,0.4948,0.9504,0.2397,0.7499,32,32,synthetic_demo
MSI,P6,C5 - C4,effect of changing vs keeping decision,overall,3.7188,3.6406,0.0781,0.1068,-0.1753,0.3315,64,64,synthetic_demo
MSI,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,3.5885,3.4896,0.099,0.1386,-0.2509,0.4488,32,32,synthetic_demo
MSI,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,3.849,3.7917,0.0573,0.0782,-0.3015,0.4161,32,32,synthetic_demo
MSI,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,3.4375,3.3906,0.0469,0.0584,-0.3463,0.44,32,32,synthetic_demo
MSI,P6,C5 - C4,effect of changing vs keeping decision,identity=human,4.0,3.8906,0.1094,0.2006,-0.1577,0.3765,32,32,synthetic_demo
PA5,P1,C1 - C0,effect of showing alternatives,overall,3.0906,3.075,0.0156,0.0257,-0.1949,0.2261,64,64,synthetic_demo
PA5,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,2.9,3.025,-0.125,-0.2202,-0.4032,0.1532,32,32,synthetic_demo
PA5,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,3.2812,3.125,0.1562,0.2509,-0.1489,0.4614,32,32,synthetic_demo
PA5,P1,C1 - C0,effect of showing alternatives,identity=ai,3.1125,3.1875,-0.075,-0.1237,-0.3721,0.2221,32,32,synthetic_demo
PA5,P1,C1 - C0,effect of showing alternatives,identity=human,3.0688,2.9625,0.1062,0.1749,-0.1914,0.4039,32,32,synthetic_demo
PA5,P2,C2 - C0,effect of showing reasons,overall,3.3781,3.075,0.3031,0.4594,0.0745,0.5317,64,64,synthetic_demo
PA5,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,3.3062,3.025,0.2812,0.4128,-0.0526,0.6151,32,32,synthetic_demo
PA5,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,3.45,3.125,0.325,0.506,0.0103,0.6397,32,32,synthetic_demo
PA5,P2,C2 - C0,effect of showing reasons,identity=ai,3.4688,3.1875,0.2812,0.4394,-0.0324,0.5949,32,32,synthetic_demo
PA5,P2,C2 - C0,effect of showing reasons,identity=human,3.2875,2.9625,0.325,0.4827,-0.0049,0.6549,32,32,synthetic_demo
PA5,P3,C3 - C2,effect of feedback only,overall,3.6219,3.3781,0.2438,0.3669,0.0135,0.474,64,64,synthetic_demo
PA5,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,3.5312,3.3062,0.225,0.2935,-0.1507,0.6007,32,32,synthetic_demo
PA5,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,3.7125,3.45,0.2625,0.483,-0.0038,0.5288,32,32,synthetic_demo
PA5,P3,C3 - C2,effect of feedback only,identity=ai,3.625,3.4688,0.1562,0.2449,-0.1563,0.4688,32,32,synthetic_demo
PA5,P3,C3 - C2,effect of feedback only,identity=human,3.6188,3.2875,0.3313,0.4773,-0.0088,0.6713,32,32,synthetic_demo
PA5,P4,C4 - C2,effect of feedback + keeping decision,overall,3.5875,3.3781,0.2094,0.3232,-0.0151,0.4338,64,64,synthetic_demo
PA5,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,3.4812,3.3062,0.175,0.2554,-0.1607,0.5107,32,32,synthetic_demo
PA5,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,3.6937,3.45,0.2437,0.4027,-0.0529,0.5404,32,32,synthetic_demo
PA5,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,3.6313,3.4688,0.1625,0.248,-0.1586,0.4836,32,32,synthetic_demo
PA5,P4,C4 - C2,effect of feedback + keeping decision,identity=human,3.5438,3.2875,0.2563,0.3987,-0.0587,0.5712,32,32,synthetic_demo
PA5,P5,C5 - C2,effect of feedback + changing decision,overall,3.825,3.3781,0.4469,0.7183,0.2313,0.6624,64,64,synthetic_demo
PA5,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,3.725,3.3062,0.4188,0.6343,0.0953,0.7422,32,32,synthetic_demo
PA5,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,3.925,3.45,0.475,0.8205,0.1913,0.7587,32,32,synthetic_demo
PA5,P5,C5 - C2,effect of feedback + changing decision,identity=ai,3.7875,3.4688,0.3188,0.5385,0.0287,0.6088,32,32,synthetic_demo
PA5,P5,C5 - C2,effect of feedback + changing decision,identity=human,3.8625,3.2875,0.575,0.8807,0.2551,0.8949,32,32,synthetic_demo
PA5,P6,C5 - C4,effect of changing vs keeping decision,overall,3.825,3.5875,0.2375,0.3954,0.0294,0.4456,64,64,synthetic_demo
PA5,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,3.725,3.4812,0.2437,0.4348,-0.031,0.5185,32,32,synthetic_demo
PA5,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,3.925,3.6937,0.2313,0.367,-0.0775,0.54,32,32,synthetic_demo
PA5,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,3.7875,3.6313,0.1562,0.2515,-0.1481,0.4606,32,32,synthetic_demo
PA5,P6,C5 - C4,effect of changing vs keeping decision,identity=human,3.8625,3.5438,0.3187,0.5434,0.0313,0.6062,32,32,synthetic_demo
PA8,P1,C1 - C0,effect of showing alternatives,overall,3.1426,3.1094,0.0332,0.0679,-0.1362,0.2026,64,64,synthetic_demo
PA8,P1,C1 - C0,effect of showing alternatives,model=deepseek-v4-pro,2.9453,3.0,-0.0547,-0.12,-0.278,0.1686,32,32,synthetic_demo
PA8,P1,C1 - C0,effect of showing alternatives,model=gpt-5.6-terra,3.3398,3.2188,0.1211,0.255,-0.1116,0.3537,32,32,synthetic_demo
PA8,P1,C1 - C0,effect of showing alternatives,identity=ai,3.1562,3.1406,0.0156,0.0302,-0.2383,0.2695,32,32,synthetic_demo
PA8,P1,C1 - C0,effect of showing alternatives,identity=human,3.1289,3.0781,0.0508,0.1093,-0.1769,0.2784,32,32,synthetic_demo
PA8,P2,C2 - C0,effect of showing reasons,overall,3.3965,3.1094,0.2871,0.6159,0.1256,0.4486,64,64,synthetic_demo
PA8,P2,C2 - C0,effect of showing reasons,model=deepseek-v4-pro,3.3281,3.0,0.3281,0.6923,0.0959,0.5604,32,32,synthetic_demo
PA8,P2,C2 - C0,effect of showing reasons,model=gpt-5.6-terra,3.4648,3.2188,0.2461,0.5507,0.0271,0.4651,32,32,synthetic_demo
PA8,P2,C2 - C0,effect of showing reasons,identity=ai,3.4531,3.1406,0.3125,0.6732,0.085,0.54,32,32,synthetic_demo
PA8,P2,C2 - C0,effect of showing reasons,identity=human,3.3398,3.0781,0.2617,0.5558,0.031,0.4925,32,32,synthetic_demo
PA8,P3,C3 - C2,effect of feedback only,overall,3.5703,3.3965,0.1738,0.3868,0.0181,0.3295,64,64,synthetic_demo
PA8,P3,C3 - C2,effect of feedback only,model=deepseek-v4-pro,3.4922,3.3281,0.1641,0.3319,-0.0781,0.4063,32,32,synthetic_demo
PA8,P3,C3 - C2,effect of feedback only,model=gpt-5.6-terra,3.6484,3.4648,0.1836,0.4662,-0.0094,0.3766,32,32,synthetic_demo
PA8,P3,C3 - C2,effect of feedback only,identity=ai,3.5938,3.4531,0.1406,0.3106,-0.0812,0.3625,32,32,synthetic_demo
PA8,P3,C3 - C2,effect of feedback only,identity=human,3.5469,3.3398,0.207,0.4611,-0.013,0.427,32,32,synthetic_demo
PA8,P4,C4 - C2,effect of feedback + keeping decision,overall,3.6445,3.3965,0.248,0.5313,0.0863,0.4098,64,64,synthetic_demo
PA8,P4,C4 - C2,effect of feedback + keeping decision,model=deepseek-v4-pro,3.5078,3.3281,0.1797,0.3606,-0.0645,0.4239,32,32,synthetic_demo
PA8,P4,C4 - C2,effect of feedback + keeping decision,model=gpt-5.6-terra,3.7812,3.4648,0.3164,0.7663,0.1141,0.5187,32,32,synthetic_demo
PA8,P4,C4 - C2,effect of feedback + keeping decision,identity=ai,3.7344,3.4531,0.2812,0.6562,0.0712,0.4913,32,32,synthetic_demo
PA8,P4,C4 - C2,effect of feedback + keeping decision,identity=human,3.5547,3.3398,0.2148,0.4318,-0.029,0.4586,32,32,synthetic_demo
PA8,P5,C5 - C2,effect of feedback + changing decision,overall,3.793,3.3965,0.3965,0.8204,0.229,0.5639,64,64,synthetic_demo
PA8,P5,C5 - C2,effect of feedback + changing decision,model=deepseek-v4-pro,3.668,3.3281,0.3398,0.7141,0.1066,0.573,32,32,synthetic_demo
PA8,P5,C5 - C2,effect of feedback + changing decision,model=gpt-5.6-terra,3.918,3.4648,0.4531,0.9506,0.2195,0.6867,32,32,synthetic_demo
PA8,P5,C5 - C2,effect of feedback + changing decision,identity=ai,3.793,3.4531,0.3398,0.7102,0.1054,0.5743,32,32,synthetic_demo
PA8,P5,C5 - C2,effect of feedback + changing decision,identity=human,3.793,3.3398,0.4531,0.9204,0.2119,0.6944,32,32,synthetic_demo
PA8,P6,C5 - C4,effect of changing vs keeping decision,overall,3.793,3.6445,0.1484,0.2946,-0.0261,0.323,64,64,synthetic_demo
PA8,P6,C5 - C4,effect of changing vs keeping decision,model=deepseek-v4-pro,3.668,3.5078,0.1602,0.3303,-0.0775,0.3978,32,32,synthetic_demo
PA8,P6,C5 - C4,effect of changing vs keeping decision,model=gpt-5.6-terra,3.918,3.7812,0.1367,0.2761,-0.106,0.3794,32,32,synthetic_demo
PA8,P6,C5 - C4,effect of changing vs keeping decision,identity=ai,3.793,3.7344,0.0586,0.1163,-0.1882,0.3054,32,32,synthetic_demo
PA8,P6,C5 - C4,effect of changing vs keeping decision,identity=human,3.793,3.5547,0.2383,0.473,-0.0086,0.4851,32,32,synthetic_demo
